ccaa_iso;fecha;num_casos;casos_ac;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
AR;2020-06-13;19;6481;19;0;0;0
AR;2020-06-14;26;6507;25;0;1;0
AR;2020-06-15;36;6543;36;0;0;0
AR;2020-06-16;46;6589;46;0;0;0
AR;2020-06-17;48;6637;48;0;0;0
AR;2020-06-18;52;6689;50;0;1;1
AR;2020-06-19;69;6758;69;0;0;0
AR;2020-06-20;23;6781;23;0;0;0
AR;2020-06-21;52;6833;52;0;0;0
AR;2020-06-22;24;6857;24;0;0;0
AR;2020-06-23;9;6866;9;0;0;0
AR;2020-06-24;31;6897;31;0;0;0
AR;2020-06-25;27;6924;27;0;0;0
AR;2020-06-26;23;6947;23;0;0;0
AR;2020-06-27;34;6981;34;0;0;0
AR;2020-06-28;15;6996;15;0;0;0
AR;2020-06-29;21;7017;21;0;0;0
AR;2020-06-30;27;7044;27;0;0;0
AR;2020-07-01;10;7054;10;0;0;0
AR;2020-07-02;9;7063;9;0;0;0
AR;2020-07-03;11;7074;11;0;0;0
AR;2020-07-04;3;7077;3;0;0;0
AR;2020-07-05;0;7077;0;0;0;0
AS;2020-01-31;0;0;0;0;0;0
AS;2020-02-01;0;0;0;0;0;0
AS;2020-02-02;0;0;0;0;0;0
AS;2020-02-03;0;0;0;0;0;0
AS;2020-02-04;0;0;0;0;0;0
AS;2020-02-05;0;0;0;0;0;0
AS;2020-02-06;0;0;0;0;0;0
AS;2020-02-07;0;0;0;0;0;0
AS;2020-02-08;0;0;0;0;0;0
AS;2020-02-09;0;0;0;0;0;0
AS;2020-02-10;0;0;0;0;0;0
AS;2020-02-11;0;0;0;0;0;0
AS;2020-02-12;0;0;0;0;0;0
AS;2020-02-13;0;0;0;0;0;0
AS;2020-02-14;0;0;0;0;0;0
AS;2020-02-15;0;0;0;0;0;0
AS;2020-02-16;0;0;0;0;0;0
AS;2020-02-17;0;0;0;0;0;0
AS;2020-02-18;0;0;0;0;0;0
AS;2020-02-19;0;0;0;0;0;0
AS;2020-02-20;0;0;0;0;0;0
AS;2020-02-21;0;0;0;0;0;0
AS;2020-02-22;0;0;0;0;0;0
AS;2020-02-23;1;1;1;0;0;0
AS;2020-02-24;0;1;0;0;0;0
AS;2020-02-25;1;2;1;0;0;0
AS;2020-02-26;0;2;0;0;0;0
AS;2020-02-27;0;2;0;0;0;0
AS;2020-02-28;1;3;1;0;0;0
AS;2020-02-29;2;5;2;0;0;0
AS;2020-03-01;2;7;2;0;0;0
AS;2020-03-02;3;10;3;0;0;0
AS;2020-03-03;2;12;2;0;0;0
AS;2020-03-04;2;14;2;0;0;0
AS;2020-03-05;5;19;5;0;0;0
AS;2020-03-06;12;31;12;0;0;0
AS;2020-03-07;12;43;12;0;0;0
AS;2020-03-08;14;57;14;0;0;0
AS;2020-03-09;32;89;32;0;0;0
AS;2020-03-10;52;141;52;0;0;0
AS;2020-03-11;43;184;43;0;0;0
AS;2020-03-12;57;241;57;0;0;0
AS;2020-03-13;70;311;70;0;0;0
AS;2020-03-14;81;392;81;0;0;0
AS;2020-03-15;89;481;89;0;0;0
AS;2020-03-16;106;587;106;0;0;0
AS;2020-03-17;80;667;80;0;0;0
AS;2020-03-18;91;758;91;0;0;0
AS;2020-03-19;101;859;101;0;0;0
AS;2020-03-20;83;942;83;0;0;0
AS;2020-03-21;68;1010;68;0;0;0
AS;2020-03-22;75;1085;75;0;0;0
AS;2020-03-23;70;1155;70;0;0;0
AS;2020-03-24;58;1213;58;0;0;0
AS;2020-03-25;57;1270;57;0;0;0
AS;2020-03-26;77;1347;77;0;0;0
AS;2020-03-27;70;1417;70;0;0;0
AS;2020-03-28;53;1470;53;0;0;0
AS;2020-03-29;40;1510;40;0;0;0
AS;2020-03-30;45;1555;45;0;0;0
AS;2020-03-31;42;1597;42;0;0;0
AS;2020-04-01;29;1626;29;0;0;0
AS;2020-04-02;54;1680;54;0;0;0
AS;2020-04-03;38;1718;38;0;0;0
AS;2020-04-04;45;1763;45;0;0;0
AS;2020-04-05;43;1806;43;0;0;0
AS;2020-04-06;41;1847;41;0;0;0
AS;2020-04-07;45;1892;45;0;0;0
AS;2020-04-08;48;1940;48;0;0;0
AS;2020-04-09;43;1983;43;0;0;0
AS;2020-04-10;57;2040;57;0;0;0
AS;2020-04-11;53;2093;53;0;0;0
AS;2020-04-12;23;2116;23;0;0;0
AS;2020-04-13;32;2148;32;0;0;0
AS;2020-04-14;30;2178;30;0;0;0
AS;2020-04-15;40;2218;40;0;0;0
AS;2020-04-16;12;2230;12;0;0;0
AS;2020-04-17;12;2242;12;0;0;0
AS;2020-04-18;9;2251;9;0;0;0
AS;2020-04-19;6;2257;6;0;0;0
AS;2020-04-20;7;2264;7;0;0;0
AS;2020-04-21;16;2280;16;0;0;0
AS;2020-04-22;8;2288;8;0;0;0
AS;2020-04-23;9;2297;9;0;0;0
AS;2020-04-24;17;2314;17;0;0;0
AS;2020-04-25;3;2317;3;0;0;0
AS;2020-04-26;5;2322;5;0;0;0
AS;2020-04-27;5;2327;5;0;0;0
AS;2020-04-28;10;2337;10;0;0;0
AS;2020-04-29;3;2340;3;0;0;0
AS;2020-04-30;10;2350;10;0;0;0
AS;2020-05-01;2;2352;2;0;0;0
AS;2020-05-02;3;2355;3;0;0;0
AS;2020-05-03;3;2358;3;0;0;0
AS;2020-05-04;4;2362;4;0;0;0
AS;2020-05-05;6;2368;6;0;0;0
AS;2020-05-06;4;2372;4;0;0;0
AS;2020-05-07;3;2375;3;0;0;0
AS;2020-05-08;5;2380;5;0;0;0
AS;2020-05-09;4;2384;4;0;0;0
AS;2020-05-10;1;2385;1;0;0;0
AS;2020-05-11;3;2388;3;0;0;0
AS;2020-05-12;0;2388;0;0;0;0
AS;2020-05-13;2;2390;2;0;0;0
AS;2020-05-14;0;2390;0;0;0;0
AS;2020-05-15;2;2392;2;0;0;0
AS;2020-05-16;1;2393;1;0;0;0
AS;2020-05-17;5;2398;5;0;0;0
AS;2020-05-18;1;2399;1;0;0;0
AS;2020-05-19;0;2399;0;0;0;0
AS;2020-05-20;1;2400;1;0;0;0
AS;2020-05-21;1;2401;1;0;0;0
AS;2020-05-22;1;2402;1;0;0;0
AS;2020-05-23;13;2415;13;0;0;0
AS;2020-05-24;3;2418;3;0;0;0
AS;2020-05-25;3;2421;3;0;0;0
AS;2020-05-26;2;2423;2;0;0;0
AS;2020-05-27;0;2423;0;0;0;0
AS;2020-05-28;0;2423;0;0;0;0
AS;2020-05-29;1;2424;1;0;0;0
AS;2020-05-30;3;2427;3;0;0;0
AS;2020-05-31;1;2428;1;0;0;0
AS;2020-06-01;1;2429;1;0;0;0
AS;2020-06-02;0;2429;0;0;0;0
AS;2020-06-03;0;2429;0;0;0;0
AS;2020-06-04;0;2429;0;0;0;0
AS;2020-06-05;4;2433;4;0;0;0
AS;2020-06-06;2;2435;2;0;0;0
AS;2020-06-07;0;2435;0;0;0;0
AS;2020-06-08;0;2435;0;0;0;0
AS;2020-06-09;0;2435;0;0;0;0
AS;2020-06-10;0;2435;0;0;0;0
AS;2020-06-11;0;2435;0;0;0;0
AS;2020-06-12;0;2435;0;0;0;0
AS;2020-06-13;0;2435;0;0;0;0
AS;2020-06-14;0;2435;0;0;0;0
AS;2020-06-15;0;2435;0;0;0;0
AS;2020-06-16;0;2435;0;0;0;0
AS;2020-06-17;0;2435;0;0;0;0
AS;2020-06-18;0;2435;0;0;0;0
AS;2020-06-19;0;2435;0;0;0;0
AS;2020-06-20;0;2435;0;0;0;0
AS;2020-06-21;0;2435;0;0;0;0
AS;2020-06-22;0;2435;0;0;0;0
AS;2020-06-23;0;2435;0;0;0;0
AS;2020-06-24;0;2435;0;0;0;0
AS;2020-06-25;0;2435;0;0;0;0
AS;2020-06-26;0;2435;0;0;0;0
AS;2020-06-27;0;2435;0;0;0;0
