"","longitude","latitude","username","total_oc"
"524",12.456774,41.90244958,"vlad mihai",5
"525",12.51642,41.89903,"Olga Shapoval",5
"526",12.44684343,41.91884874,"Roberta Ruiu",5
"527",12.5,41.9,"Murat Turan",5
"528",12.49051,41.89929,"Roberto Di Vito",5
"529",12.493255,41.890045,"Tony's Pizzeria",5
"530",12.5,41.9,"RGB Light Experience",5
"531",12.5,41.9,"design-me.it",5
"532",12.47143507,41.89967777,"Anna Franco",5
"533",12.36057358,41.76996023,"AuroraBuongermino",5
"534",12.63483278,41.86785306,"Valerio Stay Fish",5
"535",12.49158426,41.89082967,"LV-FEC✈️🎙",5
"536",12.48256254,41.89318644,"Rebecca Kasmin",5
"537",12.49158426,41.89082967,"Mabs",5
"538",12.453,41.904,"travellingbites",5
"539",12.5207057,41.9533248,"Talco Porta di Roma",5
"540",12.48566508,41.89322614,"Cristiana Avenali",4
"541",12.55067389,41.95292029,"Paolo Imperatori",4
"542",12.5,41.9,"Riccardo Valletta",4
"543",12.454032,41.902273,"Gianluca Timpone",4
"544",12.5227,41.8807,"Micheel Pedreira",4
"545",12.5,41.9,"Emanuele Polimanti",4
"546",12.482636,41.9004628,"Rory Lewis",4
"547",12.5,41.9,"iamannmelgarejo",4
"548",12.5,41.9,"adao rosa",4
"549",12.49249454,41.78279062,"tiziano anna testa",4
